fecha,anio,mes,categoria,videos_publicados,vistas_totales,likes_totales,comentarios_totales,engagement_promedio,max_vistas_video,titulo_mas_visto
2018-01-01,2018,1,SDE Capital,1,48211.0,145.0,3.0,0.31,48211,Viaje en tren con 2 hombre araña por LaBanda Santiago del Estero
2017-08-01,2017,8,SDE Capital,1,16361815.0,24283.0,542.0,0.15,16361815,SANTIAGO DEL ESTERO ME ESTA LLAMANDO....HONDO SENTIMIENTO
2017-07-01,2017,7,Otro,2,150172.0,3860.0,246.0,2.01,115682,Bailando una Chacarera - Pablo Imhoff
2017-05-01,2017,5,Termas,1,43347.0,294.0,32.0,0.75,43347,Termas de Quicho - Córdoba - Argentina
2017-04-01,2017,4,Termas,1,58903.0,192.0,12.0,0.35,58903,Asi esta ahora el dique de Termas de Rio Hondo
2017-03-01,2017,3,Otro,1,390952.0,1868.0,0.0,0.48,390952,Parque acuático de Federación Entre Ríos Argentina - Turismo en Federación
2017-03-01,2017,3,SDE Capital,1,166032.0,6952.0,895.0,4.73,166032,"TODO TIENE UN FINAL, Santiago Del Estero - Cap 50 - Dustin Luke"
2017-03-01,2017,3,Termas,1,29950.0,120.0,11.0,0.44,29950,"Los Pinos Resort &amp; Spa Termal All Inclusive, Hotel en Termas de Río Hondo"
2016-08-01,2016,8,Otro,1,28858.0,298.0,37.0,1.16,28858,"Arroyo termal en la puna argentina,  Catamarca a 100kms de fiambala"
2016-07-01,2016,7,Termas,1,142543.0,630.0,36.0,0.47,142543,"Invierno en Termas de Fiambalá, Catamarca, Argentina"
2016-05-01,2016,5,Termas,1,49343.0,163.0,9.0,0.35,49343,"Remolino, Dique Frontal, Termas de Río Hondo"
2016-04-01,2016,4,MotoGP,2,79483.0,213.0,14.0,0.32,64563,Valentino Rossi Onboard - Gp Argentina / Termas de Rio Hondo - MotoGP 16 (mod)
2016-04-01,2016,4,Termas,1,36677.0,595.0,33.0,1.71,36677,GoPro™ OnBoard lap of the Termas de Río Hondo Circuit
2016-01-01,2016,1,Termas,1,210611.0,709.0,90.0,0.38,210611,Termas de Rio Hondo
2015-11-01,2015,11,MotoGP,1,12025.0,10.0,1.0,0.09,12025,MotoGP 2016 en Termas de Río Hondo (Argentina)
2015-09-01,2015,9,Termas,1,128362.0,638.0,27.0,0.52,128362,Institucional Informativo Termas de Rio Hondo
2015-08-01,2015,8,MotoGP,1,19548.0,106.0,20.0,0.64,19548,MotoGP 15 - Carrera Termas de Río Hondo - MotoGP - Marc Márquez
2015-08-01,2015,8,Termas,1,7289.0,29.0,1.0,0.41,7289,Fecha 8: Termas de Río Hondo Domingo
2015-07-01,2015,7,MotoGP,3,216959.0,3127.0,79.0,0.78,206252,Incidente quasi mortale! MOTOGP 15 #3
2015-07-01,2015,7,SDE Capital,1,48840.0,138.0,30.0,0.34,48840,"Ruta Nacional 34: Santiago del Estero &amp; Tucumán , Argentina (HD)"
2015-06-01,2015,6,MotoGP,2,80474.0,506.0,92.0,0.68,69546,MOTOGP ASSEN NETHERLANDS 27 JUNE 2015 | VALENTINO ROSSI VS MARQUEZ DRAMATIC TAKES
2015-06-01,2015,6,Termas,1,31866.0,108.0,14.0,0.38,31866,"Termas de Rio Hondo, Hotel City (su hermosa pileta termal)"
2015-05-01,2015,5,MotoGP,1,10098.0,32.0,1.0,0.33,10098,MotoGP Noche 2- Argentina 2015
2015-04-01,2015,4,MotoGP,10,2203908.0,15006.0,1226.0,0.61,1762147,MotoGP Rewind: A recap of #ArgentinaGP
2015-04-01,2015,4,Otro,9,207613.0,1419.0,49.0,0.61,59877,Jack Miller drifting and sliding
2015-04-01,2015,4,Termas,2,38506.0,385.0,24.0,0.95,25356,GoPro™ OnBoard lap of Termas de Río Hondo Circuit
2015-03-01,2015,3,Termas,1,4765.0,11.0,1.0,0.25,4765,WTCC 2015. Autodromo Termas de Rio Hondo. Mehdi Bennani and Rob Huff Contact
2015-02-01,2015,2,Termas,1,3903.0,5.0,1.0,0.15,3903,Aviso WTCC 2015 Termas de Rio Hondo - Santiago del Estero - República Argentina
2015-01-01,2015,1,Termas,1,7344.0,26.0,0.0,0.35,7344,Étape 11 - Auto/Moto - Résumé de l&#39;étape - Salta / Termas Rio Hondo
2014-07-01,2014,7,MotoGP,1,14220.0,312.0,45.0,2.51,14220,MotoGP 14 Ps4 Modo Carrera (Trayectoria) español | Moto3 | Parte 6 Termas de Río Hondo
2014-06-01,2014,6,MotoGP,3,38326.0,1225.0,129.0,3.27,18060,MotoGp 14 - Gameplay ITA - Let&#39;s Play #06 -(Moto 3)- Passiamo alla versione pc - Termas de Rio Hondo
2014-06-01,2014,6,Otro,2,19168.0,141.0,5.0,0.77,13373,Assen 2014 - Yamaha Technical Preview
2014-05-01,2014,5,MotoGP,4,2128631.0,6782.0,123.0,0.33,2105572,MotoGP™ Rewind: Argentina 2014
2014-05-01,2014,5,Termas,1,6346.0,30.0,0.0,0.47,6346,Muitas motos em Termas de Rio Hondo (ARG) e a Street Triple fez bonito
2014-04-01,2014,4,MotoGP,10,314271.0,551.0,23.0,0.14,54397,Previa del MotoGP
2014-04-01,2014,4,Otro,6,111308.0,749.0,77.0,0.78,51906,Argentina 2014 - Honda OnBoard
2014-04-01,2014,4,Termas,4,70787.0,396.0,29.0,0.44,39870,Termas de Rio Hondo set to host third round of the season
2014-01-01,2014,1,MotoGP,1,12743.0,28.0,1.0,0.23,12743,Spot Moto GP 2014 Termas de Río Hondo
2013-11-01,2013,11,MotoGP,1,16993.0,17.0,0.0,0.1,16993,2014 MotoGP Circuits
2013-07-01,2013,7,MotoGP,1,43407.0,43.0,5.0,0.11,43407,"Test de prueba, Moto GP, circuito Termas de Rio Hondo, Argentina 2013"
2013-05-01,2013,5,Termas,1,69119.0,295.0,28.0,0.47,69119,Turismo Carretera 2013 - Fecha 6 - Termas Rio Hondo (HD)
2013-05-01,2013,5,MotoGP,1,4751.0,12.0,2.0,0.29,4751,Test Oficial Moto GP 2013 - Río Hondo - Argentina
2012-11-01,2012,11,Termas,1,53414.0,104.0,13.0,0.22,53414,TERMAS DE RIO HONDO CITY TOUR
2012-07-01,2012,7,Termas,1,21315.0,97.0,3.0,0.47,21315,Travesías Fotográficas a Termas Río Hondo Parte 1
2012-04-01,2012,4,Termas,1,5808.0,59.0,42.0,1.74,5808,DIA 14 Y 15 TUCUMAN - TERMAS DE RIO HONDO.mpg
2011-01-01,2011,1,SDE Capital,1,182637.0,622.0,90.0,0.39,182637,Caminos de Santiago del Estero.
2009-11-01,2009,11,SDE Capital,1,56356.0,153.0,5.0,0.28,56356,"VIAJE a  ICAñO  2008,    Santiago del Estero."
