fecha,anio,mes,provincia,empleo_registrado,sector,fuente
2024-10-01,2024,10,Neuquén,9416,HyG,SIPA-AFIP
2024-10-01,2024,10,Río Negro,9818,HyG,SIPA-AFIP
2024-10-01,2024,10,Salta,245,HyG,SIPA-AFIP
2024-10-01,2024,10,San Juan,2802,HyG,SIPA-AFIP
2024-10-01,2024,10,San Luis,1886,HyG,SIPA-AFIP
2024-10-01,2024,10,Santa Cruz,5185,HyG,SIPA-AFIP
2024-10-01,2024,10,Santa Fe,15291,HyG,SIPA-AFIP
2024-10-01,2024,10,Santiago del Estero,3035,HyG,SIPA-AFIP
2024-10-01,2024,10,Tierra del Fuego,3521,HyG,SIPA-AFIP
2024-10-01,2024,10,Tucumán,5140,HyG,SIPA-AFIP
2024-09-01,2024,9,Buenos Aires,84797,HyG,SIPA-AFIP
2024-09-01,2024,9,CABA,99569,HyG,SIPA-AFIP
2024-09-01,2024,9,Catamarca,1513,HyG,SIPA-AFIP
2024-09-01,2024,9,Chaco,1381,HyG,SIPA-AFIP
2024-09-01,2024,9,Chubut,3697,HyG,SIPA-AFIP
2024-09-01,2024,9,Corrientes,3830,HyG,SIPA-AFIP
2024-09-01,2024,9,Córdoba,22180,HyG,SIPA-AFIP
2024-09-01,2024,9,Entre Ríos,4235,HyG,SIPA-AFIP
2024-09-01,2024,9,Formosa,848,HyG,SIPA-AFIP
2024-09-01,2024,9,Jujuy,1922,HyG,SIPA-AFIP
2024-09-01,2024,9,La Pampa,1084,HyG,SIPA-AFIP
2024-09-01,2024,9,La Rioja,1085,HyG,SIPA-AFIP
2024-09-01,2024,9,Mendoza,14047,HyG,SIPA-AFIP
2024-09-01,2024,9,Misiones,4739,HyG,SIPA-AFIP
2024-09-01,2024,9,Neuquén,9325,HyG,SIPA-AFIP
2024-09-01,2024,9,Río Negro,10067,HyG,SIPA-AFIP
2024-09-01,2024,9,Salta,256,HyG,SIPA-AFIP
2024-09-01,2024,9,San Juan,2623,HyG,SIPA-AFIP
2024-09-01,2024,9,San Luis,1933,HyG,SIPA-AFIP
2024-09-01,2024,9,Santa Cruz,4357,HyG,SIPA-AFIP
2024-09-01,2024,9,Santa Fe,15066,HyG,SIPA-AFIP
2024-09-01,2024,9,Santiago del Estero,3370,HyG,SIPA-AFIP
2024-09-01,2024,9,Tierra del Fuego,3511,HyG,SIPA-AFIP
2024-09-01,2024,9,Tucumán,5041,HyG,SIPA-AFIP
2024-08-01,2024,8,Buenos Aires,84797,HyG,SIPA-AFIP
2024-08-01,2024,8,CABA,99569,HyG,SIPA-AFIP
2024-08-01,2024,8,Catamarca,1513,HyG,SIPA-AFIP
2024-08-01,2024,8,Chaco,1381,HyG,SIPA-AFIP
2024-08-01,2024,8,Chubut,3697,HyG,SIPA-AFIP
2024-08-01,2024,8,Corrientes,3830,HyG,SIPA-AFIP
2024-08-01,2024,8,Córdoba,22180,HyG,SIPA-AFIP
2024-08-01,2024,8,Entre Ríos,4235,HyG,SIPA-AFIP
2024-08-01,2024,8,Formosa,848,HyG,SIPA-AFIP
2024-08-01,2024,8,Jujuy,1922,HyG,SIPA-AFIP
2024-08-01,2024,8,La Pampa,1084,HyG,SIPA-AFIP
2024-08-01,2024,8,La Rioja,1085,HyG,SIPA-AFIP
2024-08-01,2024,8,Mendoza,14047,HyG,SIPA-AFIP
2024-08-01,2024,8,Misiones,4739,HyG,SIPA-AFIP
2024-08-01,2024,8,Neuquén,9325,HyG,SIPA-AFIP
2024-08-01,2024,8,Río Negro,10067,HyG,SIPA-AFIP
2024-08-01,2024,8,Salta,256,HyG,SIPA-AFIP
2024-08-01,2024,8,San Juan,2623,HyG,SIPA-AFIP
2024-08-01,2024,8,San Luis,1933,HyG,SIPA-AFIP
2024-08-01,2024,8,Santa Cruz,4357,HyG,SIPA-AFIP
2024-08-01,2024,8,Santa Fe,15066,HyG,SIPA-AFIP
2024-08-01,2024,8,Santiago del Estero,3370,HyG,SIPA-AFIP
2024-08-01,2024,8,Tierra del Fuego,3511,HyG,SIPA-AFIP
2024-08-01,2024,8,Tucumán,5041,HyG,SIPA-AFIP
2024-07-01,2024,7,Buenos Aires,84797,HyG,SIPA-AFIP
2024-07-01,2024,7,CABA,99569,HyG,SIPA-AFIP
2024-07-01,2024,7,Catamarca,1513,HyG,SIPA-AFIP
2024-07-01,2024,7,Chaco,1381,HyG,SIPA-AFIP
2024-07-01,2024,7,Chubut,3697,HyG,SIPA-AFIP
2024-07-01,2024,7,Corrientes,3830,HyG,SIPA-AFIP
2024-07-01,2024,7,Córdoba,22180,HyG,SIPA-AFIP
2024-07-01,2024,7,Entre Ríos,4235,HyG,SIPA-AFIP
2024-07-01,2024,7,Formosa,848,HyG,SIPA-AFIP
2024-07-01,2024,7,Jujuy,1922,HyG,SIPA-AFIP
2024-07-01,2024,7,La Pampa,1084,HyG,SIPA-AFIP
2024-07-01,2024,7,La Rioja,1085,HyG,SIPA-AFIP
2024-07-01,2024,7,Mendoza,14047,HyG,SIPA-AFIP
2024-07-01,2024,7,Misiones,4739,HyG,SIPA-AFIP
2024-07-01,2024,7,Neuquén,9325,HyG,SIPA-AFIP
2024-07-01,2024,7,Río Negro,10067,HyG,SIPA-AFIP
2024-07-01,2024,7,Salta,256,HyG,SIPA-AFIP
2024-07-01,2024,7,San Juan,2623,HyG,SIPA-AFIP
2024-07-01,2024,7,San Luis,1933,HyG,SIPA-AFIP
2024-07-01,2024,7,Santa Cruz,4357,HyG,SIPA-AFIP
2024-07-01,2024,7,Santa Fe,15066,HyG,SIPA-AFIP
2024-07-01,2024,7,Santiago del Estero,3370,HyG,SIPA-AFIP
2024-07-01,2024,7,Tierra del Fuego,3511,HyG,SIPA-AFIP
2024-07-01,2024,7,Tucumán,5041,HyG,SIPA-AFIP
2024-06-01,2024,6,Buenos Aires,86249,HyG,SIPA-AFIP
2024-06-01,2024,6,CABA,99165,HyG,SIPA-AFIP
2024-06-01,2024,6,Catamarca,1611,HyG,SIPA-AFIP
2024-06-01,2024,6,Chaco,1395,HyG,SIPA-AFIP
2024-06-01,2024,6,Chubut,3641,HyG,SIPA-AFIP
2024-06-01,2024,6,Corrientes,3917,HyG,SIPA-AFIP
