fecha,localidad,viajeros_total,viajeros_res,viajeros_no_res,pernoctes_total,estadia_promedio,ibt_termas,ibt_sde,ibt_motogp,ibt_compuesto,tcn_usd,anio,mes,flag_covid
2023-02-01,Termas,8251.0,4120.0,,28966.0,3.51,31,4,6,17.9,191.97,2023,2,0
2023-01-01,Santiago del Estero,22594.0,11158.0,139.0,36656.0,1.62,29,6,5,17.3,182.06,2023,1,0
2023-01-01,Termas,6642.0,3321.0,,26262.0,3.95,29,6,5,17.3,182.06,2023,1,0
2022-12-01,Santiago del Estero,17464.0,8525.0,207.0,31672.0,1.81,20,2,3,11.2,172.42,2022,12,0
2022-12-01,Termas,8989.0,4489.0,,28816.0,3.21,20,2,3,11.2,172.42,2022,12,0
2022-11-01,Santiago del Estero,22167.0,11061.0,,36231.0,1.63,20,3,5,11.9,162.07,2022,11,0
2022-11-01,Termas,13747.0,6849.0,,38310.0,2.79,20,3,5,11.9,162.07,2022,11,0
2022-10-01,Santiago del Estero,26680.0,13170.0,170.0,47582.0,1.78,32,4,10,19.2,152.05,2022,10,0
2022-10-01,Termas,28942.0,14173.0,298.0,81130.0,2.8,32,4,10,19.2,152.05,2022,10,0
2022-09-01,Santiago del Estero,30270.0,14883.0,252.0,51284.0,1.69,38,3,7,21.3,143.09,2022,9,0
2022-09-01,Termas,39134.0,19542.0,,119866.0,3.06,38,3,7,21.3,143.09,2022,9,0
2022-08-01,Santiago del Estero,30276.0,15023.0,115.0,54386.0,1.8,53,4,5,28.7,135.29,2022,8,0
2022-08-01,Termas,58162.0,28308.0,773.0,195328.0,3.36,53,4,5,28.7,135.29,2022,8,0
2022-07-01,Santiago del Estero,38376.0,19050.0,138.0,72448.0,1.89,73,6,3,38.9,128.39,2022,7,0
2022-07-01,Termas,92794.0,46360.0,,289623.0,3.12,73,6,3,38.9,128.39,2022,7,0
2022-06-01,Santiago del Estero,26096.0,12911.0,137.0,47446.0,1.82,61,4,6,32.9,122.66,2022,6,0
2022-06-01,Termas,46317.0,23132.0,,161005.0,3.48,61,4,6,32.9,122.66,2022,6,0
2022-05-01,Santiago del Estero,24488.0,12121.0,123.0,44870.0,1.83,53,5,6,29.2,117.78,2022,5,0
2022-05-01,Termas,30695.0,15312.0,,101058.0,3.29,53,5,6,29.2,117.78,2022,5,0
2022-04-01,Santiago del Estero,33832.0,16649.0,267.0,63634.0,1.88,53,4,40,35.7,113.19,2022,4,0
2022-04-01,Termas,45594.0,20280.0,2517.0,162102.0,3.56,53,4,40,35.7,113.19,2022,4,0
2022-03-01,Santiago del Estero,27999.0,13960.0,,48832.0,1.74,45,3,41,31.6,109.37,2022,3,0
2022-03-01,Termas,23914.0,10091.0,1866.0,72654.0,3.04,45,3,41,31.6,109.37,2022,3,0
2022-02-01,Santiago del Estero,26183.0,13076.0,,45293.0,1.73,37,5,10,22.0,106.38,2022,2,0
2022-02-01,Termas,23360.0,11671.0,,68594.0,2.94,37,5,10,22.0,106.38,2022,2,0
2022-01-01,Santiago del Estero,23966.0,11965.0,,44092.0,1.84,31,5,6,18.2,103.92,2022,1,0
2022-01-01,Termas,17695.0,8813.0,,54799.0,3.1,31,5,6,18.2,103.92,2022,1,0
2021-12-01,Santiago del Estero,26522.0,13251.0,,48488.0,1.83,17,4,3,10.3,101.88,2021,12,0
2021-12-01,Termas,14077.0,7033.0,,40824.0,2.9,17,4,3,10.3,101.88,2021,12,0
2021-11-01,Santiago del Estero,22364.0,11178.0,,40985.0,1.83,19,4,6,11.9,100.33,2021,11,0
2021-11-01,Termas,20141.0,10067.0,,62350.0,3.1,19,4,6,11.9,100.33,2021,11,0
2021-10-01,Santiago del Estero,21390.0,10691.0,,33313.0,1.56,29,5,11,18.2,99.21,2021,10,1
2021-10-01,Termas,40982.0,20488.0,,99910.0,2.44,29,5,11,18.2,99.21,2021,10,1
2021-09-01,Santiago del Estero,20583.0,10287.0,,33187.0,1.61,31,5,7,18.4,98.26,2021,9,1
2021-09-01,Termas,42136.0,21068.0,,95964.0,2.28,31,5,7,18.4,98.26,2021,9,1
2021-08-01,Santiago del Estero,19345.0,9664.0,,30293.0,1.57,32,5,9,19.3,97.19,2021,8,1
2021-08-01,Termas,42048.0,21021.0,,107330.0,2.55,32,5,9,19.3,97.19,2021,8,1
2021-07-01,Santiago del Estero,14439.0,7214.0,,26189.0,1.81,31,10,3,19.1,96.21,2021,7,1
2021-07-01,Termas,27114.0,13557.0,,77962.0,2.88,31,10,3,19.1,96.21,2021,7,1
2021-06-01,Santiago del Estero,7894.0,3946.0,,15046.0,1.91,12,4,10,9.2,95.25,2021,6,1
2021-06-01,Termas,5054.0,2527.0,,14470.0,2.86,12,4,10,9.2,95.25,2021,6,1
2021-05-01,Santiago del Estero,7805.0,3901.0,,14984.0,1.92,9,2,7,6.5,94.09,2021,5,1
2021-05-01,Termas,7646.0,3820.0,,26264.0,3.43,9,2,7,6.5,94.09,2021,5,1
2021-04-01,Santiago del Estero,9181.0,4588.0,,13354.0,1.45,13,3,9,9.2,92.73,2021,4,1
2021-04-01,Termas,12555.0,6277.0,,48684.0,3.88,13,3,9,9.2,92.73,2021,4,1
2021-03-01,Santiago del Estero,11045.0,5520.0,,18058.0,1.63,18,5,13,13.1,91.09,2021,3,1
2021-03-01,Termas,10401.0,5197.0,,41528.0,3.99,18,5,13,13.1,91.09,2021,3,1
2021-02-01,Santiago del Estero,8870.0,4426.0,,15088.0,1.7,27,6,1,15.5,88.72,2021,2,1
2021-02-01,Termas,12341.0,6160.0,,38896.0,3.15,27,6,1,15.5,88.72,2021,2,1
2021-01-01,Santiago del Estero,9056.0,4519.0,,15859.0,1.75,19,8,1,12.1,85.84,2021,1,1
2021-01-01,Termas,8584.0,4292.0,,38748.0,4.51,19,8,1,12.1,85.84,2021,1,1
2020-12-01,Santiago del Estero,3406.0,,,6458.0,1.9,12,8,0,8.4,82.64,2020,12,1
2020-12-01,Termas,2005.0,,,7714.0,3.85,12,8,0,8.4,82.64,2020,12,1
2020-11-01,Santiago del Estero,1054.0,,,3055.0,2.9,9,6,4,7.1,79.9,2020,11,1
2020-11-01,Termas,0.0,0.0,0.0,0.0,,9,6,4,7.1,79.9,2020,11,1
2020-10-01,Santiago del Estero,104.0,,,231.0,2.22,7,2,5,5.1,77.56,2020,10,1
2020-10-01,Termas,0.0,0.0,0.0,0.0,,7,2,5,5.1,77.56,2020,10,1
2020-09-01,Termas,0.0,0.0,0.0,0.0,,7,1,7,5.2,75.18,2020,9,1
2020-08-01,Termas,0.0,0.0,0.0,0.0,,8,1,6,5.5,73.25,2020,8,1
2020-07-01,Termas,0.0,0.0,0.0,0.0,,7,2,7,5.5,71.38,2020,7,1
2020-06-01,Termas,0.0,0.0,0.0,0.0,,7,1,1,4.0,69.55,2020,6,1
2020-05-01,Santiago del Estero,0.0,0.0,0.0,0.0,,6,2,1,3.8,67.71,2020,5,1
2020-05-01,Termas,0.0,0.0,0.0,0.0,,6,2,1,3.8,67.71,2020,5,1
2020-04-01,Santiago del Estero,0.0,0.0,0.0,0.0,,5,1,1,3.0,65.68,2020,4,1
2020-04-01,Termas,0.0,0.0,0.0,0.0,,5,1,1,3.0,65.68,2020,4,1
2020-03-01,Santiago del Estero,11444.0,5573.0,149.0,17264.0,1.51,9,2,5,6.1,63.25,2020,3,1
2020-03-01,Termas,8118.0,,,31779.0,3.91,9,2,5,6.1,63.25,2020,3,1
2020-02-01,Santiago del Estero,25324.0,12365.0,297.0,36870.0,1.46,21,4,4,12.5,61.34,2020,2,0
2020-02-01,Termas,18162.0,9051.0,,49808.0,2.74,21,4,4,12.5,61.34,2020,2,0
2020-01-01,Santiago del Estero,23142.0,11364.0,207.0,35348.0,1.53,16,5,2,9.9,59.98,2020,1,0
2020-01-01,Termas,12200.0,5984.0,116.0,43798.0,3.59,16,5,2,9.9,59.98,2020,1,0
2019-12-01,Santiago del Estero,21278.0,10441.0,198.0,32598.0,1.53,10,4,2,6.6,59.88,2019,12,0
2019-12-01,Termas,6822.0,3394.0,,22916.0,3.36,10,4,2,6.6,59.88,2019,12,0
2019-11-01,Santiago del Estero,25000.0,12292.0,208.0,36884.0,1.48,13,5,4,8.8,59.71,2019,11,0
2019-11-01,Termas,17538.0,8724.0,,53563.0,3.05,13,5,4,8.8,59.71,2019,11,0
2019-10-01,Santiago del Estero,24482.0,11976.0,265.0,37628.0,1.54,16,3,6,10.1,58.52,2019,10,0
2019-10-01,Termas,27734.0,13736.0,131.0,100880.0,3.64,16,3,6,10.1,58.52,2019,10,0
2019-09-01,Santiago del Estero,27188.0,13243.0,351.0,44822.0,1.65,22,4,7,13.6,56.69,2019,9,0
2019-09-01,Termas,51720.0,25819.0,,174823.0,3.38,22,4,7,13.6,56.69,2019,9,0
2019-08-01,Santiago del Estero,26752.0,13224.0,152.0,40462.0,1.51,28,4,6,16.4,52.24,2019,8,0
2019-08-01,Termas,56855.0,28391.0,,199309.0,3.51,28,4,6,16.4,52.24,2019,8,0
2019-07-01,Santiago del Estero,32504.0,16106.0,146.0,54560.0,1.68,41,6,3,22.9,42.47,2019,7,0
2019-07-01,Termas,94472.0,47133.0,103.0,331958.0,3.51,41,6,3,22.9,42.47,2019,7,0
2019-06-01,Santiago del Estero,24118.0,11922.0,137.0,40322.0,1.67,32,5,7,18.9,43.74,2019,6,0
2019-06-01,Termas,58824.0,29386.0,,195252.0,3.32,32,5,7,18.9,43.74,2019,6,0
2019-05-01,Santiago del Estero,23878.0,11739.0,200.0,36554.0,1.53,20,4,4,12.0,44.82,2019,5,0
2019-05-01,Termas,43444.0,21525.0,197.0,157602.0,3.63,20,4,4,12.0,44.82,2019,5,0
